keys,en,ru,ua
ui_start,Start,Начать,Почати
ui_continue,Continue,Продолжить,Продовжити
ui_exit,Exit,Выход,Вихід
ui_back,Back,Назад,Назад
ui_credits,Credits,Роли и ресурсы,Ролі та ресурси
ui_controls,Controls,Управление,Управління
ui_pickup_hint,Take (%s),Взять (%s),Взяти (%s)
ui_drop,Drop,Бросить,Викинути
ui_use,Use,Использовать,Використати
ui_inventory,Inventory,Инвернтарь,Інвентар
ui_go_home,Return Home,Вернуться домой,Повернутися додому
ui_close,Close,Закрыть,Зачинити
ui_send,Send Home,Отправить,Відправити
ui_my_shop,My Shop,Мой магазин,Мій магазин
ui_portal_shop,Portals,Портальня,Портальня
ui_market_shop,Market,Базар,Базар
ui_carpenter_shop,Carpenter,Столяр,Столяр
ui_barracks_shop,Barracks,Казармы,Казарми
ui_settings,Settings,Настройки,Налаштування
ui_quit,Quit Game,Выход,Вихід
ui_buy_portal,Buy Teleport,Купить телепорт,Придбати телепорт
ui_gossip,Gossip,Болтать,Базікати
ui_buy_upgrades,Upgrade,Улучшения,Покращення
ui_portal_buy_1,Near Islands,Ближние острова,Ближні острови
ui_portal_buy_2,Further Islands,Дальние острова,Дальні острови
ui_portal_buy_3,Danger Islands,Опасные острова,Небезпечні острови
ui_portal_buy_4,Rich Islands,Богатые острова,Багаті острови
